age,gender,year,percentage
0 - 5,Female,2011,20.0437839
0 - 5,Female,2012,20.53178976
0 - 5,Female,2013,21.02299232
0 - 5,Female,2014,21.46108599
0 - 5,Female,2015,21.63123136
0 - 5,Female,2016,21.47810509
0 - 5,Female,2017,22.14347645
0 - 5,Female,2018,21.97559115
6 - 9,Female,2011,17.35435743
6 - 9,Female,2012,17.24450289
6 - 9,Female,2013,17.76293488
6 - 9,Female,2014,18.39180222
6 - 9,Female,2015,18.54229367
6 - 9,Female,2016,18.57818897
6 - 9,Female,2017,19.46219845
6 - 9,Female,2018,19.93186634
10-15,Female,2011,16.85149495
10-15,Female,2012,16.75469556
10-15,Female,2013,16.73921948
10-15,Female,2014,16.80771555
10-15,Female,2015,16.8052023
10-15,Female,2016,16.32214799
10-15,Female,2017,17.02986626
10-15,Female,2018,17.19753568
16-19,Female,2011,15.24500673
16-19,Female,2012,15.32984018
16-19,Female,2013,15.83621563
16-19,Female,2014,16.25027471
16-19,Female,2015,16.09879574
16-19,Female,2016,15.83429111
16-19,Female,2017,16.15965859
16-19,Female,2018,15.9015345
20-24,Female,2011,21.91951157
20-24,Female,2012,21.15293777
20-24,Female,2013,20.89848914
20-24,Female,2014,20.38561935
20-24,Female,2015,18.6477946
20-24,Female,2016,18.08562236
20-24,Female,2017,18.26487247
20-24,Female,2018,18.27970356
25-29,Female,2011,18.43520459
25-29,Female,2012,18.33291686
25-29,Female,2013,18.31062259
25-29,Female,2014,18.15942604
25-29,Female,2015,17.12902684
25-29,Female,2016,16.03647673
25-29,Female,2017,15.96011972
25-29,Female,2018,15.56861038
30-34,Female,2011,15.75899215
30-34,Female,2012,16.10373726
30-34,Female,2013,16.43670644
30-34,Female,2014,16.79789469
30-34,Female,2015,16.79737764
30-34,Female,2016,16.42917727
30-34,Female,2017,16.74764816
30-34,Female,2018,16.39433381
35-39,Female,2011,13.84267199
35-39,Female,2012,14.06293057
35-39,Female,2013,14.56258049
35-39,Female,2014,15.03101555
35-39,Female,2015,15.41974484
35-39,Female,2016,15.20527081
35-39,Female,2017,15.78612284
35-39,Female,2018,15.90976294
40-44,Female,2011,11.89339391
40-44,Female,2012,11.95687325
40-44,Female,2013,12.05942381
40-44,Female,2014,12.32170207
40-44,Female,2015,12.55230526
40-44,Female,2016,12.26004533
40-44,Female,2017,12.77794268
40-44,Female,2018,13.00728476
45-49,Female,2011,10.08742561
45-49,Female,2012,10.01350569
45-49,Female,2013,9.977375978
45-49,Female,2014,10.19494196
45-49,Female,2015,10.31675992
45-49,Female,2016,10.05794728
45-49,Female,2017,10.36619008
45-49,Female,2018,10.20370347
50-54,Female,2011,8.582718651
50-54,Female,2012,8.739262527
50-54,Female,2013,8.928951543
50-54,Female,2014,9.158605585
50-54,Female,2015,9.429726809
50-54,Female,2016,9.149147904
50-54,Female,2017,9.300634465
50-54,Female,2018,8.952446692
55-59,Female,2011,7.402079753
55-59,Female,2012,7.652433853
55-59,Female,2013,7.830519747
55-59,Female,2014,8.426413831
55-59,Female,2015,8.995249708
55-59,Female,2016,9.123055412
55-59,Female,2017,9.504837792
55-59,Female,2018,9.212152332
60-64,Female,2011,7.184918293
60-64,Female,2012,7.379536226
60-64,Female,2013,7.60937687
60-64,Female,2014,8.509585031
60-64,Female,2015,9.380944989
60-64,Female,2016,9.849212603
60-64,Female,2017,10.07726404
60-64,Female,2018,9.658560322
65-69,Female,2011,8.036668685
65-69,Female,2012,7.766518554
65-69,Female,2013,7.275642085
65-69,Female,2014,8.170742239
65-69,Female,2015,9.297227552
65-69,Female,2016,9.288689
65-69,Female,2017,9.950231108
65-69,Female,2018,9.620644806
70-74,Female,2011,13.26443722
70-74,Female,2012,12.42116555
70-74,Female,2013,10.98409869
70-74,Female,2014,12.41687785
70-74,Female,2015,14.51159062
70-74,Female,2016,14.0837358
70-74,Female,2017,15.01756792
70-74,Female,2018,14.12216135
75-79,Female,2011,17.81241953
75-79,Female,2012,16.24330242
75-79,Female,2013,14.78431599
